"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-01",,"71",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-02",,"75",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-03",,"71",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-04",,"70",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-05",,"74",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-06",,"72",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-07",,"74",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-08",,"74",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-09",,"71",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-10","0.00","74","87","62"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-11",,"75",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-12",,"78",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-13","0.00","80",,"63"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-14","0.00","78","95","62"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-15","0.00","72","91","55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-16","0.00","72","88","55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-17","0.00","76",,"58"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-18","0.00","80",,"61"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-19","0.00","78","96","59"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-20","0.00","80",,"62"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-21","0.00","79","100","62"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-22","0.00","74","95","61"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-23","0.00","74",,"62"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-24","0.00","76",,"60"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-25","0.00","81",,"63"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-26","0.00","80","99","66"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-27","0.00","79","92","65"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-28","0.00","76","93","65"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-29","0.00","77",,"64"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-30","0.00","76","93",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-01-31","0.00","77","92","59"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-01","0.00","74","93","58"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-02","0.00","70","90","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-03","0.00","63","86",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-04","0.00","66",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-05","0.00","71",,"55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-06","0.00","75","92","58"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-07","0.00","71","90","56"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-08","0.00","64","87","52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-09","0.00","67",,"51"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-10","0.00","72",,"60"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-11","0.00","71",,"53"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-12","0.00","74",,"55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-13","0.00","73","92","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-14","0.00","70","89","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-15","0.00","71",,"58"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-16","0.00","69","88","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-17","0.00","67","86","55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-18","0.00","68",,"53"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-19","0.00","73",,"54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-20","0.00","77",,"60"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-21","0.00","77","94","60"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-22","0.00","78","95","64"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-23","0.00","75","90","63"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-24","0.00","76","90","63"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-25","0.00","77","91","67"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-26","0.00","75","90","67"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-27","0.00","75","89","63"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-02-28","0.00","74",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-01","0.00","72","89","60"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-02","0.00","70","86",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-03","0.00","71","83",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-04","0.00","67","83","53"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-05","0.00","70",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-06","0.00","72",,"54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-07","0.00","73","91","56"
